"Nhóm","ID","Nhãn","Kiểu","Đã lưu","Giá trị đang lưu","Giá trị mặc định"
"Theme & Màu sắc","theme_favicon_enable","Dùng favicon","checkbox","Có","true",""
"Theme & Màu sắc","favicon.png","Favicon","image","Chưa","",""
"Theme & Màu sắc","backtotop_enable","Dùng nút quay lên đầu trang","checkbox","Có","true",""
"Theme & Màu sắc","quickview_enable","Dùng Xem nhanh (Quick view)","checkbox","Có","true","true"
"Theme & Màu sắc","iwish_enable","Dùng yêu thích sản phẩm","checkbox","Có","true",""
"Theme & Màu sắc","wishlist_page","Chọn Trang sản phẩm yêu thích","page","Có","san-pham-yeu-thich",""
"Theme & Màu sắc","theme_main_color","Màu chính","color","Có","#3cb371","#8d251c"
"Theme & Màu sắc","theme_sub_color","Màu phụ","color","Có","#1F5A3B","#faa519"
"Theme & Màu sắc","theme_body_text_color","Màu chữ chính","color","Có","#13241F","#333333"
"Theme & Màu sắc","theme_body_bg","Màu nền toàn trang","color","Có","#F5F6F1","#f1e8d7"
"Theme & Màu sắc","ga_id","Google Analytics ID","text","Có","G-BEW3ZWMBJ9",""
"Theme & Màu sắc","theme_font_scale","Cỡ chữ tổng thể","select","Có","93.75","87.5"
"Home Portal v3","home_portal_v3_enable","Dùng Home Portal v3","checkbox","Có","true","true"
"Home Portal v3","portal_hero_visual","Minh họa Hero","select","Có","diagram","diagram"
"Home Portal v3","portal_hero_highlight","Cụm từ nhấn mạnh trong tiêu đề Hero","text","Có","hồ sơ khoa học","hồ sơ khoa học"
"Home Portal v3","portal_hero_trust_1","Cam kết Hero 1","text","Có","Dược mỹ phẩm chính hãng","Dược mỹ phẩm chính hãng"
"Home Portal v3","portal_hero_trust_2","Cam kết Hero 2","text","Có","Giao hàng toàn quốc","Giao hàng toàn quốc"
"Home Portal v3","portal_hero_trust_3","Cam kết Hero 3","text","Có","1:1 chuyên gia đồng hành","1:1 chuyên gia đồng hành"
"Home Portal v3","portal_shop_url","Liên kết cửa hàng","text","Có","/collections/all","/collections/all"
"Home Portal v3","portal_shop_title","Tiêu đề cửa hàng","text","Có","Mua dược mỹ phẩm chính hãng","Mua dược mỹ phẩm chính hãng"
"Home Portal v3","portal_shop_desc","Mô tả cửa hàng","textarea","Có","Dược mỹ phẩm từ các thương hiệu quốc tế, tư vấn lựa chọn theo nhu cầu làn da. Giao hàng toàn quốc.","Dược mỹ phẩm từ các thương hiệu quốc tế, tư vấn lựa chọn theo nhu cầu làn da. Giao hàng toàn quốc."
"Home Portal v3","portal_clinic_title","Tiêu đề nhánh trị liệu","text","Có","Trị liệu da 1:1 tại Hà Nội","Trị liệu da 1:1 tại Hà Nội"
"Home Portal v3","portal_clinic_desc","Mô tả nhánh trị liệu","textarea","Có","Phân tích da bằng thiết bị, phác đồ cá nhân hoá theo từng giai đoạn, theo dõi tiến triển cùng chuyên gia.","Phân tích da bằng thiết bị, phác đồ cá nhân hoá theo từng giai đoạn, theo dõi tiến triển cùng chuyên gia."
"Home Portal v3","portal_clinic_chips","Nhãn chuyên môn (ngăn cách bằng ;)","text","Có","Phân tích tình trạng da;Phác đồ cá nhân hoá;Hàng rào bảo vệ;Đồng hành 1:1","Phân tích tình trạng da;Phác đồ cá nhân hoá;Hàng rào bảo vệ;Đồng hành 1:1"
"Home Portal v3","portal_step_1_title","Bước 1 — Tiêu đề","text","Có","Phân tích da","Phân tích da"
"Home Portal v3","portal_step_1_desc","Bước 1 — Mô tả","textarea","Có","Đánh giá tình trạng da và ghi nhận các vấn đề cần ưu tiên để xây dựng hồ sơ ban đầu.","Đánh giá tình trạng da và ghi nhận các vấn đề cần ưu tiên để xây dựng hồ sơ ban đầu."
"Home Portal v3","portal_step_2_title","Bước 2 — Tiêu đề","text","Có","Thiết kế phác đồ","Thiết kế phác đồ"
"Home Portal v3","portal_step_2_desc","Bước 2 — Mô tả","textarea","Có","Chuyên gia lựa chọn hoạt chất, sản phẩm và liệu trình phù hợp với nhu cầu, khả năng đáp ứng của từng làn da.","Chuyên gia lựa chọn hoạt chất, sản phẩm và liệu trình phù hợp với nhu cầu, khả năng đáp ứng của từng làn da."
"Home Portal v3","portal_step_3_title","Bước 3 — Tiêu đề","text","Có","Đồng hành & hiệu chỉnh","Đồng hành & hiệu chỉnh"
"Home Portal v3","portal_step_3_desc","Bước 3 — Mô tả","textarea","Có","Theo dõi tiến triển, đánh giá lại định kỳ và điều chỉnh phác đồ cùng chuyên gia.","Theo dõi tiến triển, đánh giá lại định kỳ và điều chỉnh phác đồ cùng chuyên gia."
"Home Portal v3","portal_blog","Blog hiển thị trên Home Portal","blog","Có","bi-quyet",""
"Home Portal v3","portal_blog_menu","Menu danh mục Blog","linklist","Chưa","",""
"Home Portal v3","portal_blog_title","Tiêu đề Blog","text","Có","Blog Pharma Cosmetics","Blog Pharma Cosmetics"
"Home Portal v3","portal_blog_eyebrow","Nhãn Blog","text","Có","Kiến thức chăm sóc da","Kiến thức chăm sóc da"
"Home Portal v3","portal_social_desc","Giới thiệu mạng xã hội","textarea","Có","Dược mỹ phẩm toàn cầu · Giao hàng toàn quốc. Phân tích da · Phác đồ cá nhân hoá · Trị liệu da 1:1 tại Hà Nội.","Dược mỹ phẩm toàn cầu · Giao hàng toàn quốc. Phân tích da · Phác đồ cá nhân hoá · Trị liệu da 1:1 tại Hà Nội."
"Home Portal v3","portal_newsletter_action","URL form đăng ký bản tin","text","Chưa","",""
"Home Portal v3","portal_newsletter_title","Tiêu đề bản tin","text","Có","Nhận bản tin da liễu mỗi tuần","Nhận bản tin da liễu mỗi tuần"
